"ride_id","rideable_type","started_at","ended_at","ride_length","day_of_week","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"F96D5A74A3E41399","electric_bike","2023-01-21 20:05:00","2023-01-21 20:16:00","00:10:51",6,"Lincoln Ave & Fullerton Ave","TA1309000058","Hampden Ct & Diversey Ave","202480","41.92407394","-87.64627838","41.93","-87.64","member    "
"13CB7EB698CEDB88","classic_bike","2023-01-10 15:37:00","2023-01-10 15:46:00","00:08:29",2,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"BD88A2E670661CE5","electric_bike","2023-01-02 07:51:00","2023-01-02 08:05:00","00:13:14",1,"Western Ave & Lunt Ave","RP-005","Valli Produce - Evanston Plaza","599","42.008571","-87.69048283","42.039742","-87.699413","casual    "
"C90792D034FED968","classic_bike","2023-01-22 10:52:00","2023-01-22 11:01:00","00:08:46",7,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"3397017529188E8A","classic_bike","2023-01-12 13:58:00","2023-01-12 14:13:00","00:15:19",4,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"58E68156DAE3E311","electric_bike","2023-01-31 07:18:00","2023-01-31 07:21:00","00:03:13",2,"Lakeview Ave & Fullerton Pkwy","TA1309000019","Hampden Ct & Diversey Ave","202480","41.9260689","-87.6388582","41.93","-87.64","member    "
"2F7194B6012A98D4","electric_bike","2023-01-15 21:18:00","2023-01-15 21:32:00","00:14:00",7,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.79955363","-87.59461665","41.809835","-87.599383","member    "
"DB1CF84154D6A049","classic_bike","2023-01-25 10:49:00","2023-01-25 10:58:00","00:09:21",3,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"34EAB943F88C4C5D","electric_bike","2023-01-25 20:49:00","2023-01-25 21:02:00","00:12:27",3,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.79958749","-87.5946703","41.809835","-87.599383","member    "
"BC8AB1AA51DA9115","classic_bike","2023-01-06 16:37:00","2023-01-06 16:49:00","00:12:33",5,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
